frame.number,frame.time_relative,usb.endpoint_address,usb.transfer_type,usb.urb_type,usb.urb_id,usb.urb_status,usb.data_len,usb.setup.bRequest,usb.setup.wValue,usb.setup.wIndex,usb.setup.wLength,usb.capdata
"27191","13.561123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27192","13.561124000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27193","13.562135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27194","13.562136000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27195","13.563136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27196","13.563138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27197","13.564136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27198","13.564137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27199","13.565136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27200","13.565137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27201","13.566136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27202","13.566137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27203","13.567136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27204","13.567137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27205","13.568139000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27206","13.568140000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27207","13.569136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27208","13.569137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27209","13.570138000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27210","13.570139000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27211","13.571136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27212","13.571138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27213","13.572136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27214","13.572137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27215","13.573138000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27216","13.573139000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27217","13.574123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27218","13.574125000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27219","13.575111000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27220","13.575113000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27221","13.576126000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27222","13.576128000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27223","13.577139000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27224","13.577140000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27225","13.578136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27226","13.578137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27227","13.579136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27228","13.579137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27229","13.580136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27230","13.580137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27231","13.581124000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27232","13.581125000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27233","13.582107000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27234","13.582108000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27235","13.583123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27236","13.583124000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27237","13.584123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27238","13.584125000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27239","13.585123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27240","13.585124000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27241","13.586123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27242","13.586125000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27243","13.587136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27244","13.587137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27245","13.588136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27246","13.588137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27247","13.589137000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27248","13.589138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27249","13.590136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27250","13.590137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27251","13.591126000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27252","13.591128000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27253","13.592127000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27254","13.592129000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27255","13.593125000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27256","13.593126000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27257","13.594123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27258","13.594124000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27259","13.595136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27260","13.595137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27261","13.596136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27262","13.596137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27263","13.597136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27264","13.597137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27265","13.598140000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27266","13.598141000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27267","13.599136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27268","13.599138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27269","13.600136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27270","13.600137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27271","13.601136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27272","13.601137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27273","13.602136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27274","13.602137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27275","13.603136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27276","13.603137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27277","13.604136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27278","13.604137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27279","13.605138000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27280","13.605139000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27281","13.606136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27282","13.606138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27283","13.607135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27284","13.607137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27285","13.608109000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27286","13.608111000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27287","13.609110000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27288","13.609112000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27289","13.610108000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27290","13.610109000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27291","13.611128000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27292","13.611132000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27293","13.612136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27294","13.612138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27295","13.613136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27296","13.613138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27297","13.614136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27298","13.614139000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27299","13.615135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27300","13.615138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27301","13.616136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27302","13.616138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27303","13.617135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27304","13.617138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27305","13.618138000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27306","13.618140000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27307","13.619123000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27308","13.619126000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27309","13.620135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27310","13.620138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27311","13.621135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27312","13.621138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27313","13.622136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27314","13.622138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27315","13.623136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27316","13.623138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27317","13.624126000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27318","13.624128000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27319","13.625110000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27320","13.625113000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27321","13.626111000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27322","13.626114000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27323","13.627136000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27324","13.627138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27325","13.628135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27326","13.628137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27327","13.629135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27328","13.629137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27329","13.630135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27330","13.630137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27331","13.631135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27332","13.631136000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27333","13.632138000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27334","13.632139000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27335","13.633135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27336","13.633136000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27337","13.634138000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27338","13.634139000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27339","13.635135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27340","13.635136000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27341","13.636132000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27342","13.636133000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27343","13.637135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27344","13.637136000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27345","13.638135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27346","13.638136000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27347","13.639137000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27348","13.639138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27349","13.640135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27350","13.640137000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27351","13.641111000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27352","13.641113000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27353","13.642127000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27354","13.642132000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27355","13.643124000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27356","13.643127000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27357","13.644135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27358","13.644138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27359","13.645135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27360","13.645138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27361","13.646139000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27362","13.646142000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27363","13.647135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27364","13.647138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27365","13.648138000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27366","13.648140000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27367","13.649135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
"27368","13.649138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27369","13.650135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"00000080bb000001"
"27370","13.650138000","0x82","0x01","'S'","0xffff8ce907540840","-115","0",,,,,
"27371","13.651135000","0x82","0x01","'C'","0xffff8ce907540840","0","8",,,,,"01000080bb000001"
